Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки
2019-01-01;0.5;0.0;;0.0;0.7;;0.0;1.7;0.0
2019-01-02;0.7;0.1;;0.0;1.7;;0.0;2.3;0.0
2019-01-03;0.5;0.2;;0.1;2.8;;0.4;2.0;0.1
2019-01-04;0.8;0.1;;0.0;1.3;;0.0;1.5;0.0
2019-01-05;0.6;0.6;;0.0;1.9;;0.2;2.2;0.1
2019-01-06;1.5;1.1;;1.0;4.0;;1.0;3.2;0.8
2019-01-07;0.8;1.8;;0.6;5.3;;0.9;5.0;0.8
2019-01-08;2.5;2.3;;2.4;5.9;;1.5;4.5;1.3
2019-01-09;0.7;0.8;;0.5;3.1;;0.5;3.3;0.4
2019-01-10;3.4;2.4;;3.2;5.5;;1.5;3.9;2.1
2019-01-11;1.1;0.8;;1.3;2.2;;0.3;1.6;0.5
2019-01-12;1.3;0.8;;;2.2;;0.4;2.2;0.7
2019-01-13;1.0;0.7;;;2.2;;0.3;1.8;0.5
2019-01-14;0.3;1.3;;0.0;5.3;;0.7;4.3;0.3
2019-01-15;0.3;0.7;;0.0;2.5;;0.1;2.8;0.1
2019-01-16;0.5;1.4;;0.6;4.4;;0.6;3.4;0.4
2019-01-17;1.5;1.1;;0.5;3.3;;0.5;2.3;0.6
2019-01-18;0.5;0.7;;0.1;2.7;;0.2;1.8;0.1
2019-01-19;1.5;2.0;;0.9;6.5;;1.2;6.3;1.4
2019-01-20;1.3;1.8;;1.8;5.2;;1.1;4.4;1.0
2019-01-21;0.7;0.6;;0.5;2.0;;0.4;1.8;0.2
2019-01-22;1.2;0.9;;1.1;3.9;;0.8;2.9;0.7
2019-01-23;0.9;0.3;;0.3;1.4;;0.2;1.0;0.2
2019-01-24;0.7;0.2;;0.0;1.2;;0.0;1.4;0.0
2019-01-25;0.3;0.2;;0.0;1.3;;0.1;2.7;0.1
2019-01-26;2.1;1.6;;1.6;4.2;;0.8;2.7;1.5
2019-01-27;3.7;2.7;;3.4;6.2;;1.4;4.4;1.9
2019-01-28;3.9;2.4;;3.6;7.0;;1.6;4.6;2.0
2019-01-29;5.3;3.4;;4.5;8.0;;2.2;5.9;3.1
2019-01-30;4.7;4.0;;4.3;8.5;;2.4;5.7;3.3
2019-01-31;2.0;1.5;;1.4;3.5;;0.7;2.6;0.9
2019-02-01;1.4;1.1;;0.9;2.6;;0.5;2.4;0.5
2019-02-02;1.2;1.1;;1.1;3.7;;0.7;2.6;0.6
2019-02-03;0.9;0.6;;0.9;1.4;;0.1;0.9;0.2
2019-02-04;0.7;0.5;;0.5;1.2;;0.2;1.1;0.1
2019-02-05;0.7;0.7;;0.4;1.5;;0.2;1.1;0.2
2019-02-06;0.6;0.5;;0.4;2.4;;0.4;1.1;0.6
2019-02-07;0.8;0.5;;0.2;1.0;;0.1;0.8;0.2
2019-02-08;0.8;0.4;;0.2;0.9;;0.1;0.8;0.1
2019-02-09;1.1;0.3;;0.2;0.7;;0.2;1.2;0.1
2019-02-10;0.6;0.1;;0.1;1.6;;0.7;2.2;0.3
2019-02-11;0.4;0.1;;0.1;0.8;;0.3;1.0;0.2
2019-02-12;0.6;0.1;;0.0;1.0;;0.1;1.4;0.0
2019-02-13;0.6;0.3;;0.0;2.7;;0.8;2.8;0.2
2019-02-14;0.7;0.2;;0.0;2.3;;0.3;2.2;0.1
2019-02-15;0.6;0.6;;0.0;2.3;;0.4;2.5;0.1
2019-02-16;0.9;1.3;;0.5;4.1;;0.8;3.9;0.9
2019-02-17;2.5;1.6;;1.1;4.3;;1.1;3.2;1.2
2019-02-18;0.5;1.7;;0.2;4.3;;0.6;4.8;0.4
2019-02-19;2.3;1.6;;1.3;4.3;;1.2;3.3;1.4
2019-02-20;0.6;0.5;;0.2;2.2;0.4;0.3;3.1;0.4
2019-02-21;0.5;0.5;0.3;0.4;2.3;0.1;0.3;2.6;0.2
2019-02-22;2.8;2.2;1.2;2.8;5.3;1.4;1.7;4.0;1.8
2019-02-23;2.4;2.2;0.8;2.3;5.4;1.5;1.7;4.0;1.7
2019-02-24;0.9;0.9;0.3;0.5;2.7;0.8;0.7;2.9;0.5
2019-02-25;1.8;2.1;0.8;2.6;4.4;0.9;1.1;3.5;0.9
2019-02-26;1.5;0.7;0.3;1.0;2.9;0.7;0.6;2.8;0.7
2019-02-27;1.4;0.8;0.4;0.6;3.3;0.8;0.7;3.4;1.0
2019-02-28;1.1;1.1;0.5;0.9;3.3;0.6;0.8;2.3;1.0
2019-03-01;1.0;0.8;0.3;0.8;2.5;0.4;0.6;2.0;0.5
2019-03-02;0.4;0.2;0.3;0.6;1.4;0.2;0.2;1.0;0.2
2019-03-03;0.8;0.3;0.5;0.3;2.0;0.2;0.6;1.4;0.3
2019-03-04;0.7;0.1;0.1;0.1;1.2;0.2;0.3;1.7;0.1
2019-03-05;1.1;1.1;0.4;1.2;2.9;0.5;0.7;2.5;0.5
2019-03-06;0.7;0.6;0.2;0.6;1.9;0.2;0.5;1.8;0.2
2019-03-07;0.9;0.3;0.3;0.5;2.3;0.4;0.6;2.2;0.3
2019-03-08;2.5;1.5;0.6;1.7;5.6;1.1;1.3;4.3;1.4
2019-03-09;2.6;2.2;1.2;2.6;4.9;1.0;1.6;3.3;1.5
2019-03-10;1.9;1.8;0.8;1.7;3.9;0.8;1.1;2.8;1.2
2019-03-11;1.4;1.2;0.4;1.1;3.3;0.7;1.0;3.1;0.6
2019-03-12;2.6;2.1;1.1;2.6;5.1;1.0;1.5;3.5;1.6
2019-03-13;1.3;1.5;0.6;0.8;4.4;1.2;1.0;3.5;0.9
2019-03-14;3.2;3.4;1.4;2.6;7.3;1.8;2.1;4.6;2.0
2019-03-15;1.0;0.7;0.3;0.5;2.8;0.6;0.6;3.1;0.5
